pl_hostname,pl_letter,pl_discmethod,pl_pnum,st_mass,st_rad,pl_def_reflink
Kepler-424,b,Transit,2,1.01,0.94,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...795..151E target=ref>Endl et al. 2014</a>
Kepler-420,b,Transit,1,0.99,1.13,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...571A..37S target=ref>Santerne et al. 2014</a>
Kepler-15,b,Transit,1,1.02,0.99,<a href=http://adsabs.harvard.edu/abs/2011ApJS..197...13E target=ref> Endl et al. 2011 </a>
Kepler-45,b,Transit,1,0.59,0.55,<a href=http://adsabs.harvard.edu/abs/2012AJ....143..111J target=ref> Johnson et al. 2012 </a>
Kepler-74,b,Transit,1,1.18,1.12,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...575A..85B target=ref>Bonomo et al. 2015</a>
Kepler-77,b,Transit,1,0.95,0.99,<a href=http://adsabs.harvard.edu/abs/2013A%26A...557A..74G target=ref> Gandolfi et al. 2013 </a>
Kepler-419,b,Transit,2,1.39,1.74,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...791...89D target=ref> Dawson et al. 2014</a>
Kepler-425,b,Transit,1,0.93,0.86,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...572A..93H target=ref>H&eacute;brard et al. 2014</a>
Kepler-289,c,Transit,3,1.08,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...795..167S target=ref>Schmitt et al. 2014</a>
Kepler-75,b,Transit,1,0.91,0.89,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...575A..85B target=ref>Bonomo et al. 2015</a>
Kepler-1647,b,Transit,1,1.22,1.79,<a href=http://adsabs.harvard.edu/abs/2015arXiv151200189K target=ref>Kostov et al. 2016</a>
Kepler-428,b,Transit,1,0.87,0.8,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...572A..93H target=ref>H&eacute;brard et al. 2014</a>
Kepler-426,b,Transit,1,0.91,0.92,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...572A..93H target=ref>H&eacute;brard et al. 2014</a>
Kepler-44,b,Transit,1,1.12,1.35,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...575A..85B target=ref>Bonomo et al. 2015</a>
Kepler-30,c,Transit,3,0.99,0.95,<a href=http://adsabs.harvard.edu/abs/2012Natur.487..449S target=ref> Sanchis-Ojeda et al. 2012 </a>
Kepler-117,c,Transit,2,1.13,1.61,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...573A.124B target=ref>Bruno et al. 2015</a>
Kepler-434,b,Transit,1,1.2,1.38,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...575A..71A target=ref>Almenara et al. 2015</a>
Kepler-14,b,Transit,1,1.51,2.05,<a href=http://adsabs.harvard.edu/abs/2011ApJS..197....3B target=ref> Buchhave et al. 2011 </a>
Kepler-432,b,Transit,2,1.32,4.06,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...803...49Q target=ref>Quinn et al. 2015</a>
Kepler-422,b,Transit,1,1.15,1.24,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...795..151E target=ref>Endl et al. 2014</a>
Kepler-40,b,Transit,1,1.48,2.13,<a href=http://adsabs.harvard.edu/abs/2011arXiv1101.0196S target=ref> Santerne et al. 2011 </a>
Kepler-423,b,Transit,1,0.85,0.95,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...576A..11G target=ref>Gandolfi et al. 2015</a>
Kepler-87,b,Transit,2,1.1,1.82,<a href=http://adsabs.harvard.edu/abs/2014A%26A...561A.103O target=ref> Ofir et al. 2014 </a>
Kepler-43,b,Transit,1,1.32,1.42,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...804..150E target=ref>Esteves et al. 2015</a>
Kepler-427,b,Transit,1,0.96,1.35,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...572A..93H target=ref>H&eacute;brard et al. 2014</a>
Kepler-39,b,Transit,1,1.29,1.4,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...575A..85B target=ref>Bonomo et al. 2015</a>
Kepler-41,b,Transit,1,1.15,1.29,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...575A..85B target=ref>Bonomo et al. 2015</a>
Kepler-6,b,Transit,1,1.21,1.39,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...804..150E target=ref>Esteves et al. 2015</a>
Kepler-17,b,Transit,1,1.16,1.05,<a href=http://adsabs.harvard.edu/abs/2011ApJS..197...14D target=ref> D&eacute;sert et al. 2011 </a>
Kepler-412,b,Transit,1,1.17,1.29,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...804..150E target=ref>Esteves et al. 2015</a>
Kepler-76,b,Orbital Brightness Modulation,1,1.2,1.32,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...804..150E target=ref>Esteves et al. 2015</a>
Kepler-91,b,Transit,1,1.31,6.3,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...804..150E target=ref>Esteves et al. 2015</a>
Kepler-8,b,Transit,1,1.21,1.49,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...804..150E target=ref>Esteves et al. 2015</a>
Kepler-5,b,Transit,1,1.37,1.79,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...804..150E target=ref>Esteves et al. 2015</a>
Kepler-433,b,Transit,1,1.46,2.26,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...575A..71A target=ref>Almenara et al. 2015</a>
Kepler-7,b,Transit,1,1.36,1.97,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...804..150E target=ref>Esteves et al. 2015</a>
Kepler-447,b,Transit,1,1,1.05,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...577A.105L target=ref>Lillo-Box et al. 2015</a>
Kepler-12,b,Transit,1,1.17,1.48,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...804..150E target=ref>Esteves et al. 2015</a>
Kepler-435,b,Transit,1,1.54,3.21,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...575A..71A target=ref>Almenara et al. 2015</a>
