orb_radius,period
2.93,1928.0
2.78,1299.0
1.06,386.29999
0.0379,2.1974
1.98,1046.2
0.45,103.95
0.76,176.3
4.6,2730.0
0.0634,5.77152
0.1117,13.5052
0.2388,44.236000000000004
1.922,1008.0
0.32299999999999995,86.78
1.32,528.4
1.7,676.6
0.522,116.596
1.36,491.54
2.45,1027.0
0.993,328.55
6.15,5062.0
0.9740000000000001,339.33099999999996
1.04,331.5
0.053,4.07182
1.262,428.5
6.7,5894.0
3.98,2899.0
1.66,686.5
1.28,499.39999000000006
4.21,3341.5588399999997
0.6,163.94
1.29,408.60001
5.36,3452.0
2.0,818.8
0.63,194.3
1.02,391.9
0.49,131.05
1.88,842.2
0.05,4.6455
1.12,359.51001
1.5,521.0
2.1,820.2
0.11,12.62
0.8,248.4
2.32,1184.1
1.032,351.0
1.492,577.2
3.5839999999999996,2149.0
1.4969999999999999,643.25
5.235,4205.8
0.09094,9.6386
0.9209999999999999,310.55
0.36,75.523
2.12,990.0
0.08,8.4282
0.36200000000000004,75.2203
2.39,1272.0
0.14,17.24
0.87,280.17
0.23,40.0
1.3,606.4
2.1,1155.0
0.3351,75.765
1.13,434.5
0.94,270.0
5.42,5144.0
1.32,420.77
0.2931,58.112469999999995
2.8373,1749.83
0.07,6.404
1.36,533.0
0.81,225.62
3.6,2102.0
2.24,1145.0
1.31,359.89999
1.32,550.0
2.57,1532.0
1.16,323.6
2.4,1290.0
0.975,298.43
1.42,623.8
0.06296,6.4898
0.11878,16.8191
0.24600000000000002,44.505
1.14,410.10001
0.5137,110.9
0.34,71.484
0.1214,14.479000000000001
0.0443,3.092514
0.843,213.72
3.87,2278.0
1.46,396.03
1.4,510.9
1.5919999999999999,564.1
0.08,9.3743
1.76,962.0
3.0,2172.0
1.85,956.0
1.49,626.51599
4.35,3070.0
0.077,6.83776
2.05,986.0
0.0426,3.0965827999999997
4.89,3810.0
1.82,766.0
1.203,461.2
3.97,2915.03687
0.1304,17.111
2.07,1038.0999800000002
5.5,4885.0
2.8,1606.3
0.15,24.3556
0.32,74.72
1.18,525.8
1.063,340.94
0.14,18.201320000000003
2.51,1378.0
5.02,3638.0
2.37,1333.0
2.07,1035.7
1.305,466.2
1.565,606.3
1.96,852.5
2.41,1260.0
2.73,1552.9
2.2,1120.0
3.07,1920.0999800000002
0.2099,34.905
2.55,1733.0
0.8959999999999999,279.8
1.74,673.2
1.37,591.90002
0.586,160.07
2.112,1155.7
0.1207,18.315
0.2036,40.114000000000004
0.3499,90.309
0.509,147.02
0.524,130.08
2.1,875.5
0.95,380.85001
1.05,352.7
1.13,442.19
1.148,354.1
2.656,1558.0
0.03,2.24571
1.19,380.7
1.89,882.7000099999999
3.23,1854.4
0.057638,5.75999
0.067393,7.282430000000001
0.08799,10.864989999999999
0.15417,25.1967
0.05,3.93404
1.2819999999999998,567.94
2.56,1311.0
2.32,1256.0
0.61,148.60001
0.46,118.45
0.08,7.1268199999999995
5.32,4270.0
2.38,1319.0
4.56,3501.3
0.69,225.7
6.22,5501.0
0.03876,3.092926
0.0653,6.7645800000000005
0.237,46.858999999999995
0.1463,22.717
0.3753,94.2
3.11,2247.0
3.2,2093.3
0.0507,3.83492
5.79,4682.0
1.6,672.09998
3.36,2209.0
4.94,3724.7
0.74,218.47
1.25,456.1
2.306,1173.0
1.83,871.0
5.14,3999.0
1.34,572.38
2.28,1189.1
0.191,26.6904
1.167,528.07
1.6,730.59998
2.32,1214.0
0.5670000000000001,141.63
0.747,192.0
2.77,1561.0
5.7,4100.0
1.16,501.75
1.92,745.7000099999999
4.92,3668.0
1.29,535.59998
3.02,1845.0
0.04,3.4442
1.271,428.1
3.25,2208.0
0.125,18.02
0.198,36.07
5.4479999999999995,5174.0
1.02,379.0
2.15,1116.0
0.06,6.0881
0.066,8.7836
1.18,380.2
2.28,1362.3
3.43,2443.0
1.23,311.60001
3.81,2770.0
2.34,1157.0
2.69,1684.0
1.85,847.0
1.26,466.0
0.0186,0.959624
0.1841,29.83832
0.07757,8.509
0.59,157.54
3.41,2372.0
0.04,3.3877300000000004
1.07,326.0
0.1508,18.1991
1.1,388.0
1.6,551.40002
2.24,916.0
2.07,1049.0
0.7181,214.67
0.4817,117.87
0.2687,49.175
1.5430000000000001,676.8
6.36,5700.0
0.389,82.46700000000001
0.295,62.218
0.53364,154.378
1.71,885.5
2.807,1862.0
0.27699999999999997,55.012919999999994
3.74,2720.0
1.02,363.20001
0.1294,14.309439999999999
3.64,2136.1
1.66,686.8
3.1,2093.07
0.0468,4.3123
0.0799,9.6184
0.1321,20.432000000000002
0.247,51.76
0.6,197.8
1.4,578.6
0.85,264.14999
1.28,526.62
1.67,857.5
1.17,431.88
6.95,6700.0
1.65,828.0
0.5539999999999999,149.61
0.12,15.56
1.157,356.21
0.92,327.8
0.23800000000000002,36.9987
1.19,472.3
1.92,963.6
0.6813,226.93
0.8972,342.85
0.237,44.073
0.0398,3.023573
0.05,4.0845
2.395,1353.6
1.19,360.2
4.6,2732.0
1.214,363.3
1.8530000000000002,684.7
1.93,712.13
1.81,780.3
1.167,400.5
0.06,4.947369999999999
3.86,2482.7
2.353,1293.0
0.5,119.29
1.57,637.1
1.93,872.2
3.18,1827.0
0.53,139.35
1.911,779.9
1.2,492.3
0.64,177.11
1.0859999999999999,299.36
0.77,201.9
1.6,600.1
1.64,589.64
0.04,2.81805
0.94,358.0
0.14,21.998
1.37,613.09998
0.54,152.6
1.2,480.5
3.14,1973.0
1.08,352.2
3.86,2374.0
3.55,2496.0
2.18,1103.0
0.07,6.2771099999999995
0.0785,8.667
0.18600000000000003,31.56
0.63,197.0
1.76,851.8
3.18,2068.0
1.36,615.0
1.88,858.0
4.75,3658.0
0.228,39.475
0.04,2.54858
2.198,1260.0
0.65,188.3
1.03,379.1
2.99,1750.0
0.292,51.645
3.85,2473.0
2.34,1275.0
0.05,3.50927
1.032,341.2
8.4,7900.0
1.1909999999999998,422.9
0.05,3.97097
1.149,415.4
0.06,5.7361
0.06,5.39792
0.1134,15.299000000000001
0.1551,24.451
2.98,1807.0
1.94,1001.7000099999999
0.81,184.02
1.58,705.0
1.18306,441.47
0.74345,220.078
0.04,2.9857
2.45,1313.0
1.52,788.0
0.26,58.43
0.76,227.0
0.0346,2.1378431
2.84,1695.0
2.86,1475.0
3.02,1634.0
2.72,1270.0
0.11699999999999999,13.481
3.58,2754.0
0.0479,3.414884
3.27,2166.0
0.1066,11.8143
0.9179999999999999,256.78
0.25,49.77
2.2,1179.0
0.95,325.81
0.47700000000000004,143.58
0.18899999999999997,30.052
0.654,192.9
2.74,1576.0
3.33,1785.0
1.36,464.4
1.28,482.0
5.15,4375.0
1.11,362.5
1.42,647.2999900000001
1.3319999999999999,498.04
1.26,433.8
5.6,4951.0
1.864,968.8
1.11,439.29999000000004
0.12,17.0431
1.98,841.0
0.81,184.2
0.72,144.3
1.1340000000000001,499.48
0.706,232.08
0.25,57.435
0.0696,6.6738919999999995
0.5489999999999999,147.747
1.94,981.8
0.89,345.72
7.7,9017.76
0.07,8.1352
0.17800000000000002,32.03
1.01,431.7
0.565,124.6
0.177,28.125
0.316,67.3
2.81,1084.5
4.91,2556.5
0.46,88.9
3.82,2131.8
2.1,822.3
1.275,511.098
0.36,111.7
2.8,1560.2
0.06,5.0505
2.55,1058.8
0.92,302.79999
2.0380000000000003,734.0
0.0296,1.6738330000000001
0.023,1.9742380000000002
0.0796,8.267704
0.0475,3.3139589999999997
0.0581,4.733999
0.2257,39.937670000000004
0.1027,13.86387
0.0621,5.35117
0.0642,5.817685
0.0954,11.391013000000001
0.14300000000000002,20.272615
0.048,4.655411
0.0189,1.2916
0.0492,5.444017
0.245,50.92092
0.0698,7.727283
0.0802,8.282119999999999
0.078,9.562742
0.0525,5.185761
0.0285,2.2192819999999998
0.1649,30.951524
0.051,6.413766000000001
0.121,21.750264
0.0656,7.385655
0.0411,3.5881629999999998
0.055999999999999994,5.675819000000001
0.057,8.239493
0.2114,39.91488
0.032,2.49412
0.0095,0.36930999999999997
0.033,3.0712
0.045,4.8682
0.077,11.0234
0.0058,0.179715
0.0338,2.35322
0.04454,3.5598699999999996
0.058829999999999986,5.404780000000001
0.07807,8.261439999999999
0.1043,12.757589999999999
0.1796,28.380619
0.0627,8.36802
0.0687,6.56918
0.0259,2.644661
0.0159,0.961917
0.0454,4.38395
0.0616,6.9226
0.0774,9.7579
0.083,11.332
0.091,11.8104
0.0727,10.59357
0.0373,3.8354760000000003
0.1716,32.6479
0.0614,7.515739999999999
0.0405,3.6762599999999996
0.0677,7.954860000000001
0.0562,6.3420000000000005
